BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;3;16453539981998;2231;2573;0x4000
0;3;16511812691998;192;662;0x4000
0;3;16583375695999;541;948;0x4000
0;3;16595048467999;1397;1789;0x4000
0;3;16599387779998;9602;9049;0x4000
0;3;16651541779998;3310;3572;0x4000
0;3;16651876399998;4539;4664;0x4000
0;3;16678174007999;3724;3942;0x4000
0;3;16832257495998;454;902;0x4000
0;3;16840908847999;1385;1786;0x4000
0;3;16925829343999;4270;4366;0x4000
0;3;16934685021999;2081;2402;0x4000
0;3;16943256573998;682;1098;0x4000
0;3;16967979953999;16383;16383;0x4480
0;3;16994275055999;10014;9421;0x4000
0;3;17184095509998;16383;407;0x4080
0;3;17212280645998;2127;2481;0x4000
0;3;17242782189998;9162;8672;0x4000
0;3;17297183069998;1777;2157;0x4000
0;3;17304904559999;4286;4417;0x4000
0;3;17354161175998;2933;3212;0x4000
0;3;17363740583999;16383;247;0x4080
0;3;17393604503998;432;897;0x4000
0;3;17448045743998;1364;1782;0x4000
0;3;17471934703998;3563;3768;0x4000
0;3;17506026989998;737;1147;0x4000
0;3;17586406021999;4799;4856;0x4000
0;3;17667843551999;8133;7751;0x4000
0;3;17718816887999;1123;1560;0x4000
0;3;17751038775999;1440;1836;0x4000
0;3;17839321991999;9;470;0x4000
0;3;17873447469999;16383;176;0x4080
0;3;17927291863999;4636;4714;0x4000
0;3;17963810685999;5899;5835;0x4000
0;3;18035574303998;3337;3581;0x4000
0;3;18057287509999;1520;1913;0x4000
0;3;18101244997999;3067;3340;0x4000
0;3;18198355099999;6952;6790;0x4000
0;3;18263553407998;4623;4735;0x4000
0;3;18265102023998;2464;2776;0x4000
0;3;18375847793998;778;1233;0x4000
0;3;18390056447998;1748;2142;0x4000
0;3;18412381855999;489;929;0x4000
0;3;18425528045998;3088;3315;0x4000
0;3;18490439187998;3293;3549;0x4000
0;3;18497137189998;1554;1937;0x4000
0;3;18515081639998;4934;5023;0x4000
0;3;18553522551998;2227;2549;0x4000
0;3;18612958741999;706;1136;0x4000
0;3;18624163167999;2519;2855;0x4000
0;3;18654513759998;4753;4845;0x4000
0;3;18679653613998;4875;4951;0x4000
0;3;18681600279998;10712;9923;0x4000
0;3;18787233373999;3533;3761;0x4000
0;3;18831268487999;932;1352;0x4000
0;3;18860046503998;1614;1972;0x4000
0;3;18890663927999;9389;8854;0x4000
0;3;18897324831998;1457;1838;0x4000
0;3;18926583895999;200;653;0x4000
0;3;18939075587999;5879;5806;0x4000
0;3;18966625733998;3693;3884;0x4000
0;3;18974251709998;5185;5210;0x4000
0;3;18996616797998;516;978;0x4000
0;3;19012568047998;16383;261;0x4080
0;3;19030472979999;5426;5468;0x4000
0;3;19064910651999;2107;2463;0x4000
0;3;19125737399998;452;880;0x4000
0;3;19132237543998;1529;1901;0x4000
0;3;19150025175999;1596;1951;0x4000
0;3;19227361085998;3884;4077;0x4000
0;3;19242589199998;16383;16383;0x4480
0;3;19254632837998;9593;9043;0x4000
0;3;19256596957998;3151;3425;0x4000
0;3;19320855831999;16383;15315;0x4080
0;3;19324398609998;665;1100;0x4000
0;3;19351498523999;493;933;0x4000
0;3;19381192087999;3381;3571;0x4000
0;3;19427139399999;2400;2743;0x4000
0;3;19473234317999;16383;16383;0x4480
0;3;19556684471998;8302;7953;0x4000
0;3;19565188601998;7794;7500;0x4000
0;3;19592487001998;3771;3934;0x4000
0;3;19647470805998;1522;1904;0x4000
0;3;19701846631998;1534;1916;0x4000
0;3;19706655367998;5939;5925;0x4000
0;3;19782093719999;2748;3055;0x4000
0;3;19822222978811;16383;16383;0x4480
0;3;19830696433998;4774;4851;0x4000
0;3;19870261727998;580;1017;0x4000
0;3;19921839789998;998;1393;0x4000
0;3;19985488059998;273;722;0x4000
0;3;20014215215999;6549;6426;0x4000
0;3;20040533095998;281;716;0x4000
0;3;20084358663999;205;666;0x4000
0;3;20103932655998;13043;11935;0x4000
0;3;20184509433999;5267;5314;0x4000
0;3;20192262711999;4830;4937;0x4000
0;3;20219870285998;384;825;0x4000
0;3;20232390255998;2353;2695;0x4000
0;3;20264197907998;4562;4701;0x4000
0;3;20382642255998;1308;1697;0x4000
0;3;20384823243998;5567;5535;0x4000
0;3;20483648679999;1620;1986;0x4000
0;3;20505692583998;665;1092;0x4000
0;3;20601810567998;4413;4559;0x4000
0;3;20720813885998;1850;2227;0x4000
0;3;20769553951999;10550;9866;0x4000
0;3;20867791259999;15014;13497;0x4000
0;3;21107403923076;16383;16383;0x4480
0;3;21149287481999;16383;16069;0x4080
0;3;21238157591998;7245;7090;0x4000
0;3;21259238565999;2282;2613;0x4000
0;3;21273280895998;10275;9583;0x4000
0;3;21285573431999;6537;6391;0x4000
0;3;21299131815999;231;687;0x4000
0;3;21354733979998;6970;6825;0x4000
0;3;21427549855999;10611;9834;0x4000
0;3;21487547653998;7972;7630;0x4000
0;3;21496395987999;888;1299;0x4000
0;3;21505772483999;463;908;0x4000
0;3;21555800223999;1338;1734;0x4000
0;3;21590580685999;16383;319;0x4080
0;3;21623287231998;16383;126;0x4080
0;3;21652848037999;2465;2799;0x4000
0;3;21654507951998;4100;4278;0x4000
0;3;21681852279998;2296;2617;0x4000
0;3;21690812181998;4576;4712;0x4000
0;3;21711768733999;116;565;0x4000
0;3;21715763527999;9778;9250;0x4000
0;3;21721349287999;1267;1669;0x4000
0;3;21727934233998;5699;5766;0x4000
0;3;21732542063999;22;495;0x4000
0;3;21743828979999;1528;1878;0x4000
